source,col1,col2,col3,col4,col5
https://coolors.co/33658a-86bbd8-2f4858-f6ae2d-f26419,#33658a,#86bbd8,#2f4858,#f6ae2d,#f26419
https://coolors.co/c9f0ff-eafffd-efeff0-d5cad6-6b5e62,#c9f0ff,#eafffd,#efeff0,#d5cad6,#6b5e62
https://coolors.co/080705-40434e-702632-912f40-fffffa,#080705,#40434e,#702632,#912f40,#fffffa
https://coolors.co/4357ad-48a9a6-e4dfda-d4b483-c1666b,#4357ad,#48a9a6,#e4dfda,#d4b483,#c1666b
https://coolors.co/3e4e50-facfad-f8bd7f-f5ac72-f2aa7e,#3e4e50,#facfad,#f8bd7f,#f5ac72,#f2aa7e
https://coolors.co/3b0d11-6a3937-706563-748386-9dc7c8,#3b0d11,#6a3937,#706563,#748386,#9dc7c8
https://coolors.co/04151f-183a37-efd6ac-c44900-432534,#04151f,#183a37,#efd6ac,#c44900,#432534
https://coolors.co/af4d98-d66ba0-e5a9a9-f4e4ba-9df7e5,#af4d98,#d66ba0,#e5a9a9,#f4e4ba,#9df7e5
https://coolors.co/e8c547-30323d-4d5061-5c80bc-cdd1c4,#e8c547,#30323d,#4d5061,#5c80bc,#cdd1c4
https://coolors.co/bbd8b3-f3b61f-a29f15-510d0a-191102,#bbd8b3,#f3b61f,#a29f15,#510d0a,#191102
https://coolors.co/3f84e5-f0e2e7-b20d30-c17817-3f784c,#3f84e5,#f0e2e7,#b20d30,#c17817,#3f784c
https://coolors.co/c1c1c1-2c4251-d16666-b6c649-ffffff,#c1c1c1,#2c4251,#d16666,#b6c649,#ffffff
https://coolors.co/25ced1-ffffff-fceade-ff8a5b-ea526f,#25ced1,#ffffff,#fceade,#ff8a5b,#ea526f
https://coolors.co/542344-bfd1e5-ebf5ee-d8bfaa-808080,#542344,#bfd1e5,#ebf5ee,#d8bfaa,#808080
https://coolors.co/ee6c4d-f38d68-662c91-17a398-33312e,#ee6c4d,#f38d68,#662c91,#17a398,#33312e
https://coolors.co/246eb9-4cb944-fdfffc-f5ee9e-f06543,#246eb9,#4cb944,#fdfffc,#f5ee9e,#f06543
https://coolors.co/d5c5c8-9da3a4-604d53-db7f8e-ffdbda,#d5c5c8,#9da3a4,#604d53,#db7f8e,#ffdbda
https://coolors.co/0d0a0b-454955-f3eff5-72b01d-3f7d20,#0d0a0b,#454955,#f3eff5,#72b01d,#3f7d20
https://coolors.co/12263a-06bcc1-c5d8d1-f4edea-f4d1ae,#12263a,#06bcc1,#c5d8d1,#f4edea,#f4d1ae
https://coolors.co/eac435-345995-03cea4-fb4d3d-ca1551,#eac435,#345995,#03cea4,#fb4d3d,#ca1551
https://coolors.co/eaeaea-893168-4a1942-2e1c2b-050404,#eaeaea,#893168,#4a1942,#2e1c2b,#050404
https://coolors.co/152614-1e441e-2a7221-119822-31cb00,#152614,#1e441e,#2a7221,#119822,#31cb00
https://coolors.co/6f1d1b-bb9457-432818-99582a-ffe6a7,#6f1d1b,#bb9457,#432818,#99582a,#ffe6a7
https://coolors.co/fa8334-fffd77-ffe882-388697-271033,#fa8334,#fffd77,#ffe882,#388697,#271033
https://coolors.co/1f2041-4b3f72-417b5a-d0ceba-e9d2c0,#1f2041,#4b3f72,#417b5a,#d0ceba,#e9d2c0
https://coolors.co/d7263d-02182b-0197f6-448fa3-68c5db,#d7263d,#02182b,#0197f6,#448fa3,#68c5db
https://coolors.co/090446-786f52-feb95f-f71735-c2095a,#090446,#786f52,#feb95f,#f71735,#c2095a
https://coolors.co/f1e0c5-c9b79c-71816d-342a21-da667b,#f1e0c5,#c9b79c,#71816d,#342a21,#da667b
https://coolors.co/ff1053-6c6ea0-66c7f4-c1cad6-ffffff,#ff1053,#6c6ea0,#66c7f4,#c1cad6,#ffffff
https://coolors.co/f2d7ee-d3bcc0-a5668b-69306d-0e103d,#f2d7ee,#d3bcc0,#a5668b,#69306d,#0e103d
https://coolors.co/0fa3b1-b5e2fa-f9f7f3-eddea4-f7a072,#0fa3b1,#b5e2fa,#f9f7f3,#eddea4,#f7a072
https://coolors.co/fe4a49-fed766-009fb7-e6e6ea-f4f4f8,#fe4a49,#fed766,#009fb7,#e6e6ea,#f4f4f8
https://coolors.co/5bc0eb-fde74c-9bc53d-c3423f-211a1e,#5bc0eb,#fde74c,#9bc53d,#c3423f,#211a1e
https://coolors.co/000000-2a1a1f-764134-ad8350-afa060,#000000,#2a1a1f,#764134,#ad8350,#afa060
https://coolors.co/c1a5a9-f08cae-9a4c95-4d2d52-1d1a31,#c1a5a9,#f08cae,#9a4c95,#4d2d52,#1d1a31
https://coolors.co/8b1e3f-3c153b-89bd9e-f0c987-db4c40,#8b1e3f,#3c153b,#89bd9e,#f0c987,#db4c40
https://coolors.co/c2c1c2-42213d-683257-bd4089-f51aa4,#c2c1c2,#42213d,#683257,#bd4089,#f51aa4
https://coolors.co/4f000b-720026-ce4257-ff7f51-ff9b54,#4f000b,#720026,#ce4257,#ff7f51,#ff9b54
https://coolors.co/fb6107-f3de2c-7cb518-5c8001-fbb02d,#fb6107,#f3de2c,#7cb518,#5c8001,#fbb02d
https://coolors.co/fffffa-0d5c63-44a1a0-78cdd7-247b7b,#fffffa,#0d5c63,#44a1a0,#78cdd7,#247b7b
https://coolors.co/a41623-f85e00-ffb563-ffd29d-918450,#a41623,#f85e00,#ffb563,#ffd29d,#918450
https://coolors.co/2364aa-3da5d9-73bfb8-fec601-ea7317,#2364aa,#3da5d9,#73bfb8,#fec601,#ea7317
https://coolors.co/000000-ffffff-494949-7c7a7a-ff5d73,#000000,#ffffff,#494949,#7c7a7a,#ff5d73
https://coolors.co/545863-00e8fc-f96e46-f9c846-ffe3e3,#545863,#00e8fc,#f96e46,#f9c846,#ffe3e3
https://coolors.co/ffffff-fff8e8-fcd581-d52941-990d35,#ffffff,#fff8e8,#fcd581,#d52941,#990d35
https://coolors.co/091e05-004f2d-d87cac-f9b9c3-ffda22,#091e05,#004f2d,#d87cac,#f9b9c3,#ffda22
https://coolors.co/f2f3ae-edd382-fc9e4f-ff521b-020122,#f2f3ae,#edd382,#fc9e4f,#ff521b,#020122
https://coolors.co/f1f7ed-243e36-7ca982-e0eec6-c2a83e,#f1f7ed,#243e36,#7ca982,#e0eec6,#c2a83e
https://coolors.co/064789-427aa1-ebf2fa-679436-a5be00,#064789,#427aa1,#ebf2fa,#679436,#a5be00
https://coolors.co/065143-129490-70b77e-e0a890-ce1483,#065143,#129490,#70b77e,#e0a890,#ce1483
